Time (s),Ay (m/s²)
0.0012499999720603228,9.842707633972168
0.0024999999441206455,9.833856582641602
0.0037499999161809683,9.851797103881836
0.004999999888241291,9.836441993713379
0.0062500000931322575,9.816317558288574
0.007499999832361937,9.842387199401855
0.008750000037252903,9.832999229431152
0.009999999776482582,9.802940368652344
0.011250000447034836,9.856622695922852
0.012500000186264515,9.854118347167969
0.013749999925494194,9.85688591003418
0.014999999664723873,9.834177017211914
0.016249999403953552,9.846366882324219
0.017500000074505806,9.888970375061035
0.01875000074505806,9.910511016845703
0.019999999552965164,9.85636043548584
0.021250000223517418,9.873797416687012
0.02250000089406967,9.879593849182129
0.023749999701976776,9.843393325805664
0.02500000037252903,9.829970359802246
0.026249999180436134,9.849591255187988
0.027499999850988388,9.855124473571777
0.028750000521540642,9.842867851257324
0.029999999329447746,9.842867851257324
0.03125,9.848870277404785
0.032499998807907104,9.849018096923828
0.03375000134110451,9.848848342895508
0.03500000014901161,9.84423828125
0.036249998956918716,9.849100112915039
0.03750000149011612,9.850229263305664
0.038750000298023224,9.848380088806152
0.03999999910593033,9.830836296081543
0.04125000163912773,9.805181503295898
0.042500000447034836,9.792143821716309
0.04374999925494194,9.808932304382324
0.04500000178813934,9.78423023223877
0.04625000059604645,9.777843475341797
0.04749999940395355,9.782448768615723
0.04874999821186066,9.787801742553711
0.05000000074505806,9.829834938049316
0.051249999552965164,9.818157196044922
0.05249999836087227,9.82443618774414
0.05375000089406967,9.791913986206055
0.054999999701976776,9.81053352355957
0.05624999850988388,9.816362380981445
0.057500001043081284,9.806551933288574
0.05874999985098839,9.841886520385742
0.05999999865889549,9.798728942871094
0.061250001192092896,9.832030296325684
0.0625,9.826858520507812
0.0637499988079071,9.823566436767578
0.06499999761581421,9.840215682983398
0.06624999642372131,9.834383010864258
0.06750000268220901,9.807283401489258
0.06875000149011612,9.830679893493652
0.07000000029802322,9.842182159423828
0.07124999910593033,9.879366874694824
0.07249999791383743,9.835043907165527
0.07374999672174454,9.842662811279297
0.07500000298023224,9.86196231842041
0.07625000178813934,9.851417541503906
0.07750000059604645,9.815656661987305
0.07874999940395355,9.853113174438477
0.07999999821186066,9.860657691955566
0.08124999701976776,9.846986770629883
0.08250000327825546,9.881455421447754
0.08375000208616257,9.841632843017578
0.08500000089406967,9.833216667175293
0.08624999970197678,9.840994834899902
0.08749999850988388,9.86945915222168
0.08874999731779099,9.819543838500977
0.09000000357627869,9.844903945922852
0.09125000238418579,9.85690975189209
0.0925000011920929,9.872997283935547
0.09375,9.860288619995117
0.0949999988079071,9.819268226623535
